"Category","blue","green","nir","rededge","red","Dataset","Level","Area","Predcat"
"Shrubs",0.0181254018098116,0.0339320078492165,0.136325880885124,0.0841636061668396,0.0238064676523209,"Man",NA,"Akeroya","Shrubs"
"Shrubs",0.0202451795339584,0.0463027395308018,0.148047342896461,0.114523403346539,0.0308798160403967,"Man",NA,"Akeroya","Shrubs"
"Shrubs",0.0228971019387245,0.0342698954045773,0.231528073549271,0.0868688002228737,0.0254401545971632,"Man",NA,"Akeroya","Fucus vesiculosus"
"Shrubs",0.0187402460724115,0.0333793237805367,0.132023125886917,0.060375988483429,0.0253480654209852,"Man",NA,"Akeroya","Shrubs"
"Shrubs",0.0228836089372635,0.0401359833776951,0.116415604948997,0.0639548674225807,0.0295062027871609,"Man",NA,"Akeroya","Green algae"
"Sand",0.0152765801176429,0.018606960773468,0.0198361426591873,0.0130699910223484,0.0130949961021543,"Man",NA,"Akeroya","Brown algae"
"Sand",0.0156426858156919,0.0197709295898676,0.0191060863435268,0.0126609047874808,0.0135780880227685,"Man",NA,"Akeroya","Brown algae"
"Sand",0.0130380904302001,0.0152925746515393,0.00474141677841544,0.00601524533703923,0.00868703704327345,"Man",NA,"Akeroya","Fucus serratus "
"Sand",0.0130666131153703,0.015810577198863,0.00540639646351337,0.00619347859174013,0.00872866064310074,"Man",NA,"Akeroya","Fucus serratus "
"Sand",0.0130673795938492,0.0169468093663454,0.00555757945403457,0.00681185163557529,0.00856663752347231,"Man",NA,"Akeroya","Fucus serratus "
"Sand",0.0138382939621806,0.0161630269140005,0.0055379094555974,0.00625192979350686,0.00921428948640823,"Man",NA,"Akeroya","Fucus serratus "
"Sand",0.012911026366055,0.0146996909752488,0.00539003172889352,0.00637956894934177,0.00998601689934731,"Man",NA,"Akeroya","Fucus serratus "
"Shrubs",0.0253259669989347,0.0652056932449341,0.358405351638794,0.174714297056198,0.037508487701416,"Man",NA,"Akeroya","Shrubs"
"Shrubs",0.0290780253708363,0.0677412450313568,0.370425403118134,0.172417819499969,0.0394610315561295,"Man",NA,"Akeroya","Shrubs"
"Shrubs",0.0236234534531832,0.0654807984828949,0.39274126291275,0.185516372323036,0.0351881012320518,"Man",NA,"Akeroya","Shrubs"
"Shrubs",0.0266446471214294,0.0752337947487831,0.430287390947342,0.209923073649406,0.0418482981622219,"Man",NA,"Akeroya","Shrubs"
"Shrubs",0.0231292583048344,0.0634910315275192,0.412152051925659,0.192233353853226,0.0365937724709511,"Man",NA,"Akeroya","Shrubs"
"Shrubs",0.0162480361759663,0.0365238226950169,0.346804827451706,0.130135864019394,0.021506380289793,"Man",NA,"Akeroya","Shrubs"
"Shrubs",0.0180360190570354,0.0435734465718269,0.371958523988724,0.145237699151039,0.02609290368855,"Man",NA,"Akeroya","Shrubs"
"Shrubs",0.019542895257473,0.0487061627209187,0.395189464092255,0.164213225245476,0.0270524118095636,"Man",NA,"Akeroya","Shrubs"
"Shrubs",0.0210192911326885,0.0605946443974972,0.443731546401978,0.189672142267227,0.0324601046741009,"Man",NA,"Akeroya","Shrubs"
"Grass",0.0382493026554585,0.105542950332165,0.623992204666138,0.314229607582092,0.0583678670227528,"Man",NA,"Akeroya","Grass"
